date,Greek Risk,k,Delta,Gamma,vega,Rho,Simulated Value P&L
2019/4/2,11.38453743,1.109704598,-0.078250124,0.046503467,-14.17699339,10.3258729,3.787259917
2019/4/3,-3.102137793,1.095845276,-0.052527879,0.049033155,-14.23876901,10.56692849,0.399345781
2019/4/4,-11.71543262,1.058845425,-0.037727305,0.042886057,-14.85916003,10.62646068,-0.238443532
2019/4/5,-4.251739669,1.001356505,-0.013778272,0.033334662,-15.71720218,10.63702936,-2.708286169
2019/4/8,6.840546432,1.02112797,-0.017204295,0.038033086,-15.39002809,10.62363132,0.420988976
2019/4/9,12.69410426,1.130793877,-0.063929407,0.047100823,-13.69230748,10.57244628,1.524874824
2019/4/10,-0.837390931,1.085570128,-0.041470011,0.042653854,-14.36103263,10.53890183,-0.911718186
2019/4/11,-0.009661559,1.060547683,-0.029349484,0.04079219,-14.70865974,10.52688552,0.702212392
2019/4/12,-20.46524744,0.976470303,0.009054447,0.028849627,-16.08884598,10.59768372,-2.129825292
2019/4/15,2.661265975,0.990078785,0.008510461,0.031516243,-15.8859634,10.58342072,0.521029178
2019/4/16,-4.775785221,1.045344033,-0.01468775,0.037087323,-15.13586045,10.60820218,0.151538346
2019/4/17,0.29151788,1.015456626,1.25E-05,0.032106057,-15.59830524,10.59226933,-0.187320529
2019/4/18,-9.215717309,1.025590763,-0.007902141,0.031904697,-15.51605572,10.62607334,-0.855589963
2019/4/22,3.943153034,1.031099251,-0.011635142,0.034837695,-15.40795504,10.60953881,-0.471104462
2019/4/23,-11.42674528,1.080683434,-0.033255724,0.0447752,-14.76690954,10.65564825,-0.888979269
2019/4/24,3.635981981,1.124864309,-0.0427463,0.049299143,-14.2072525,10.63060126,-1.332381654
2019/4/25,9.207199973,1.146258068,-0.051667537,0.051997336,-13.78669997,10.57073188,0.608958532
2019/4/26,-5.874429046,1.169869988,-0.06765737,0.052960516,-13.43057579,10.60307102,0.285625674
2019/4/29,-0.362965999,1.241216942,-0.091493525,0.062086455,-12.4681451,10.60776377,-0.191718196
2019/4/30,-2.225874859,1.28887776,-0.110183917,0.071330313,-11.98180151,10.62396963,-0.64680762
2019/5/1,8.862767844,1.378244006,-0.154681741,0.081837497,-10.4190685,10.56435571,0.858254607
2019/5/2,5.973122678,1.398236857,-0.167334085,0.082414118,-10.03825143,10.53985683,0.489510058
2019/5/3,-10.44835837,1.369124871,-0.15323997,0.083216626,-10.56857057,10.58276716,-1.422850574
2019/5/6,3.451575349,1.468405859,-0.201120694,0.088679591,-9.062642572,10.59234082,1.125610337
2019/5/7,15.88939355,1.626162088,-0.279108839,0.093411356,-6.567771057,10.50687248,3.221154054
2019/5/8,0.031518528,1.643163037,-0.280026658,0.096758911,-6.360686985,10.48350143,-0.289964779
2019/5/9,4.847548259,1.628765541,-0.283242441,0.094631188,-6.463753806,10.4232304,1.386535743
2019/5/10,-4.943506873,1.505569168,-0.237785789,0.089667051,-8.261402623,10.43058983,-0.666373888
2019/5/13,24.01045675,1.52268449,-0.250093697,0.087227856,-7.797254441,10.23939423,2.964184591
2019/5/14,-7.192776759,1.584477494,-0.268437722,0.097493035,-7.048110218,10.29855147,-1.333117315
2019/5/15,-3.988260157,1.572353374,-0.257551076,0.092884911,-7.294420362,10.3098385,-1.687816673
2019/5/16,-9.539995079,1.485633824,-0.225685495,0.096648384,-8.541804103,10.362929,-1.250654851
2019/5/17,3.836880202,1.445518208,-0.210076285,0.092337633,-9.076494613,10.32831337,0.563385351
2019/5/20,3.558098012,1.464645851,-0.21900596,0.089761092,-8.766716625,10.31360039,0.576434759
2019/5/21,-9.752556181,1.403788695,-0.190191601,0.086426685,-9.718693948,10.34151315,-0.938440273
2019/5/22,5.258963728,1.366838336,-0.172252484,0.083536397,-10.21368775,10.29728025,-0.061933242
2019/5/23,11.73088385,1.49319463,-0.228383862,0.087183044,-8.380148997,10.25766621,2.09975769
2019/5/24,-4.153770902,1.447091527,-0.217507043,0.087921256,-8.94920085,10.26998538,-0.955790598
2019/5/28,11.0323903,1.425024668,-0.206700292,0.084912012,-9.196624182,10.17865056,0.86109983
2019/5/29,8.887947395,1.497833781,-0.246217689,0.086827909,-8.064518627,10.12323988,0.62169703
2019/5/30,-2.150626617,1.480905423,-0.213685049,0.07894477,-8.490613789,10.14515322,0.395764713
2019/5/31,14.28996325,1.487476938,-0.219602723,0.078071273,-8.24733005,10.0107718,1.518462118
2019/6/3,-13.13121704,1.424821239,-0.238082868,0.070900936,-9.115561054,9.791799229,2.798940014
2019/6/4,-24.15772017,1.355494412,-0.181629545,0.07085185,-9.895372715,10.18166455,-2.551549634
2019/6/5,-11.7096198,1.297194072,-0.15479126,0.064343377,-10.79857012,10.24933613,-1.430853423
2019/6/6,-9.504531203,1.249200422,-0.135361417,0.062249052,-11.57171696,10.30022185,-0.307514892
2019/6/7,-15.91885333,1.230334654,-0.128819157,0.060806253,-11.95129676,10.38374171,-1.22225575
2019/6/10,-4.698655583,1.216871328,-0.120774359,0.057859565,-12.1904328,10.42949211,-0.38268898
2019/6/11,1.277315695,1.201544085,-0.113392571,0.056228869,-12.41167216,10.42487418,0.100833986
2019/6/12,2.638880603,1.211204872,-0.117773062,0.057005498,-12.25019435,10.41113901,0.180113041
2019/6/13,-6.380487452,1.221909574,-0.125109209,0.0568674,-12.13221446,10.46178931,-0.80114565
2019/6/14,0.204239477,1.153109157,-0.098478448,0.053127246,-13.10204543,10.40804186,-0.437107087
2019/6/17,-2.042717733,1.121962891,-0.082714072,0.047766906,-13.57519549,10.44150674,-0.273740998
2019/6/18,-25.02319574,1.102492008,-0.073245133,0.046250775,-14.04788128,10.57413889,-2.1854687
2019/6/19,-2.895102152,0.990482158,-0.019324803,0.035190578,-15.72683984,10.52276228,-2.196088499
2019/6/20,-21.08205774,0.988840351,-0.018708185,0.036427803,-15.89123647,10.61275044,-1.648698306
2019/6/21,2.334223291,1.052309727,-0.048546646,0.043676387,-14.92223651,10.63621419,-0.273278329
2019/6/24,-0.223757777,1.057775737,-0.049638444,0.043004372,-14.85165795,10.65831128,0.29075332
2019/6/25,13.91837812,1.082532225,-0.061258142,0.04441057,-14.39283303,10.60193939,-0.124208614
2019/6/26,1.043510023,1.0713308,-0.054117677,0.041792771,-14.55621828,10.60068142,-0.057065064
2019/6/27,1.920711821,1.071811334,-0.054386096,0.043566977,-14.55389239,10.5930785,-0.779503549
2019/6/28,-6.685310027,1.081090338,-0.060211908,0.043647399,-14.44306369,10.62028536,-0.12826432
